Code,GroupName,Level
_011111,Arroz,Gasto básico
_011121,Pan,Gasto básico
_011131,Pastas frescas y secas,Gasto básico
_011141,Productos de tortillería,Gasto básico
_011142,Productos de pastelería y repostería,Gasto básico
_011151,Maíz,Gasto básico
_011152,Otros cereales,Gasto básico
_011153,Harina de maíz,Gasto básico
_011154,Molienda de Maiz,Gasto básico
_011211,"Carne bovina fresca, refrigerada o congelada",Gasto básico
_011221,"Carne de cerdo fresca, refrigerada o congelada",Gasto básico
_011231,"Carne de aves fresca, refrigerada o congelada",Gasto básico
_011241,"Embutidos frescos o refrigerados, menudencias",Gasto básico
_011311,"Pescado fresco o seco, refrigerado o congelado, ahumano o salado",Gasto básico
_011321,Mariscos frescos y/o refrigerados,Gasto básico
_011331,"Pescados y mariscos elaborados, preservados y/o en conserva",Gasto básico
_011411,"Leche líquida fresca, descremada, pasteurizada o esterilizada y leche preservada, condensada, evaporada o en polvo",Gasto básico
_011421,Queso,Gasto básico
_011431,Otros productos lácteos,Gasto básico
_011441,Huevos,Gasto básico
_011511,Aceites y vegetales,Gasto básico
_011521,Margarinas y otras grasas,Gasto básico
_011611,Aguacates,Gasto básico
_011612,Bananos o guineos,Gasto básico
_011613,Manzanas de cualquier variedad,Gasto básico
_011614,Naranjas,Gasto básico
_011615,Plátanos,Gasto básico
_011616,Otras frutas frescas,Gasto básico
_011621,Frutas secas o en conserva,Gasto básico
_011711,Tomate,Gasto básico
_011712,Güisquil,Gasto básico
_011713,Otras verduras y hortalizas,Gasto básico
_011721,Frijol,Gasto básico
_011722,Otras legumbres o leguminosas,Gasto básico
_011731,Cebolla,Gasto básico
_011732,Papa o patata,Gasto básico
_011733,Zanahoria,Gasto básico
_011734,Otras tuberosas frescas,Gasto básico
_011741,Cominos,Gasto básico
_011742,Culantro o cilantro,Gasto básico
_011743,Otras hierbas culinarias,Gasto básico
_011811,Azúcar,Gasto básico
_011821,"Mermeladas, compotas, gelatinas y jaleas",Gasto básico
_011831,Productos de confitería,Gasto básico
_011841,"Granizadas, helados de hielo y de leche",Gasto básico
_011911,Café,Gasto básico
_011921,Mayonesa,Gasto básico
_011922,Salsa de tomate,Gasto básico
_011923,Otras salsas y condimentos,Gasto básico
_011931,Sal,Gasto básico
_011932,"Especias, aderezos y productos aromáticos",Gasto básico
_011941,Levadura preparación de postres y sopas,Gasto básico
_011951,Otros productos alimenticios no clasificados en otro subgrupo unitario,Gasto básico
_012111,Agua,Gasto básico
_012121,Bebidas gaseosas,Gasto básico
_012131,Jugos,Gasto básico
_012132,Refrescos,Gasto básico
_012211,Comidas preparadas para llevar a domicilio,Gasto básico
_012221,Almuerzo,Gasto básico
_012222,Desayuno (o cena),Gasto básico
_012223,Refacciones,Gasto básico
_012231,"Golosinas, productos sintéticos y otras comidas preparadas fuera del hogar",Gasto básico
_021111,Pantalones y overoles para niños menores de 3 años.,Gasto básico
_021121,"Camisas, blusas, playeras, camisetas y similares para niños menores de 3 años",Gasto básico
_021131,Vestidos y faldas para niñas menores de 3 años,Gasto básico
